question_number,response_category,demographic_parameter,subgroup,responders_n,base_sub_total,freq
T1,A fair amount,Age,Under 55,943,1888,50
T1,A fair amount,Area Type (Population Density),Urban (All),1139,2308,49
T1,A fair amount,Area Type (Population Density),Rural (All),272,510,53
T1,A fair amount,Area Type (Population Density),Urban (Large),576,1110,52
T1,A fair amount,Area Type (Population Density),Urban (Other),417,884,47
T1,A fair amount,Area Type (Population Density),Small Towns (Accessible),107,224,48
T1,A fair amount,Area Type (Population Density),Small Towns (Remote),39,90,43
T1,A fair amount,Area Type (Population Density),Rural (Accessible),182,343,53
T1,A fair amount,Area Type (Population Density),Rural (Remote),90,167,54
T1,A fair amount,Energy Hub Area,Yes/Applicable,251,513,49
T1,A fair amount,Energy Hub Area,No/Not Applicable,1160,2305,50
T1,A fair amount,Flood Risk Area,Yes/Applicable,441,920,48
T1,A fair amount,Flood Risk Area,No/Not Applicable,970,1898,51
T1,A fair amount,Education,No Formal Qualifications,84,247,34
T1,A fair amount,Education,Other Qualifications,619,1265,49
T1,A fair amount,Education,Degree or Higher Qualifications,584,1056,55.00000000000001
T1,A fair amount,Education,Non-graduate,703,1512,46
T1,A fair amount,Working Status,Employed (FT or PT),831,1717,48
T1,A fair amount,Working Status,Unemployed,279,528,53
T1,A fair amount,Working Status,Retired,246,456,54
T1,A fair amount,Income,"Less than £26,000",332,746,45
T1,A fair amount,Income,"From £26,000 to less than £52,000",379,759,50
T1,A fair amount,Income,"Less than £52,000",711,1505,47
T1,A fair amount,Income,"£52,000 and above",396,692,56.99999999999999
T1,A little,Overall Population,Overall Population,960,2818,34
T1,A little,Biological Sex,Men,404,1364,30
T1,A little,Biological Sex,Women,544,1397,39
T1,A little,Age,From 16 to 34,229,906,25
T1,A little,Age,From 35 to 54,375,982,38
T1,A little,Age,From 55 to 69,248,604,41
T1,A little,Age,70 and above,97,272,36
T1,A little,Age,35 and above,720,1858,39
T1,A little,Age,Under 55,604,1888,32
T1,A little,Area Type (Population Density),Urban (All),798,2308,35
T1,A little,Area Type (Population Density),Rural (All),162,510,32
T1,A little,Area Type (Population Density),Urban (Large),339,1110,31
T1,A little,Area Type (Population Density),Urban (Other),351,884,40
T1,A little,Area Type (Population Density),Small Towns (Accessible),76,224,34
T1,A little,Area Type (Population Density),Small Towns (Remote),32,90,36
T1,A little,Area Type (Population Density),Rural (Accessible),114,343,33
T1,A little,Area Type (Population Density),Rural (Remote),48,167,28.999999999999996
T1,A little,Energy Hub Area,Yes/Applicable,172,513,34
T1,A little,Energy Hub Area,No/Not Applicable,788,2305,34
T1,A little,Flood Risk Area,Yes/Applicable,325,920,35
T1,A little,Flood Risk Area,No/Not Applicable,635,1898,33
T1,A little,Education,No Formal Qualifications,122,247,49
T1,A little,Education,Other Qualifications,494,1265,39
T1,A little,Education,Degree or Higher Qualifications,265,1056,25
T1,A little,Education,Non-graduate,616,1512,41
T1,A little,Working Status,Employed (FT or PT),603,1717,35
T1,A little,Working Status,Unemployed,163,528,31
T1,A little,Working Status,Retired,166,456,36
T1,A little,Income,"Less than £26,000",294,746,39
T1,A little,Income,"From £26,000 to less than £52,000",258,759,34
T1,A little,Income,"Less than £52,000",552,1505,37
T1,A little,Income,"£52,000 and above",189,692,27
T1,Nothing at all,Overall Population,Overall Population,76,2818,3
T1,Nothing at all,Biological Sex,Men,37,1364,3
T1,Nothing at all,Biological Sex,Women,33,1397,2
T1,Nothing at all,Age,From 16 to 34,34,906,4
T1,Nothing at all,Age,From 35 to 54,26,982,3
T1,Nothing at all,Age,From 55 to 69,6,604,1
T1,Nothing at all,Age,70 and above,5,272,2
T1,Nothing at all,Age,35 and above,37,1858,2
T1,Nothing at all,Age,Under 55,60,1888,3
T1,Nothing at all,Area Type (Population Density),Urban (All),67,2308,3
T1,Nothing at all,Area Type (Population Density),Rural (All),9,510,2
T1,Nothing at all,Area Type (Population Density),Urban (Large),26,1110,2
T1,Nothing at all,Area Type (Population Density),Urban (Other),25,884,3
T1,Nothing at all,Area Type (Population Density),Small Towns (Accessible),12,224,5
T1,Nothing at all,Area Type (Population Density),Small Towns (Remote),4,90,4
T1,Nothing at all,Area Type (Population Density),Rural (Accessible),8,343,2
T1,Nothing at all,Area Type (Population Density),Rural (Remote),1,167,1
T1,Nothing at all,Energy Hub Area,Yes/Applicable,13,513,3
T1,Nothing at all,Energy Hub Area,No/Not Applicable,62,2305,3
T1,Nothing at all,Flood Risk Area,Yes/Applicable,36,920,4
T1,Nothing at all,Flood Risk Area,No/Not Applicable,40,1898,2
T1,Nothing at all,Education,No Formal Qualifications,13,247,5
T1,Nothing at all,Education,Other Qualifications,47,1265,4
T1,Nothing at all,Education,Degree or Higher Qualifications,9,1056,1
T1,Nothing at all,Education,Non-graduate,59,1512,4
T1,Nothing at all,Working Status,Employed (FT or PT),40,1717,2
T1,Nothing at all,Working Status,Unemployed,23,528,4
T1,Nothing at all,Working Status,Retired,8,456,2
T1,Nothing at all,Income,"Less than £26,000",29,746,4
T1,Nothing at all,Income,"From £26,000 to less than £52,000",20,759,3
T1,Nothing at all,Income,"Less than £52,000",48,1505,3
T1,Nothing at all,Income,"£52,000 and above",10,692,1
T1,Don't know,Overall Population,Overall Population,20,2818,1
T1,Don't know,Biological Sex,Men,11,1364,1
T1,Don't know,Biological Sex,Women,10,1397,1
T1,Don't know,Age,From 16 to 34,4,906,0
T1,Don't know,Age,From 35 to 54,5,982,1
T1,Don't know,Age,From 55 to 69,12,604,2
T1,Don't know,Age,70 and above,NA,272,NA
T1,Don't know,Age,35 and above,17,1858,1
T1,Don't know,Age,Under 55,8,1888,0
T1,Don't know,Area Type (Population Density),Urban (All),17,2308,1
T1,Don't know,Area Type (Population Density),Rural (All),4,510,1
T1,Don't know,Area Type (Population Density),Urban (Large),9,1110,1
T1,Don't know,Area Type (Population Density),Urban (Other),7,884,1
T1,Don't know,Area Type (Population Density),Small Towns (Accessible),NA,224,NA
T1,Don't know,Area Type (Population Density),Small Towns (Remote),NA,90,NA
T1,Don't know,Area Type (Population Density),Rural (Accessible),NA,343,NA
T1,Don't know,Area Type (Population Density),Rural (Remote),4,167,2
T1,Don't know,Energy Hub Area,Yes/Applicable,NA,513,NA
T1,Don't know,Energy Hub Area,No/Not Applicable,20,2305,1
T1,Don't know,Flood Risk Area,Yes/Applicable,5,920,1
T1,Don't know,Flood Risk Area,No/Not Applicable,15,1898,1
T1,Don't know,Education,No Formal Qualifications,11,247,4
T1,Don't know,Education,Other Qualifications,4,1265,0
T1,Don't know,Education,Degree or Higher Qualifications,3,1056,0
T1,Don't know,Education,Non-graduate,16,1512,1
T1,Don't know,Working Status,Employed (FT or PT),3,1717,0
T1,Don't know,Working Status,Unemployed,10,528,2
T1,Don't know,Working Status,Retired,5,456,1
T1,Don't know,Income,"Less than £26,000",10,746,1
T1,Don't know,Income,"From £26,000 to less than £52,000",NA,759,NA
T1,Don't know,Income,"Less than £52,000",10,1505,1
T1,Don't know,Income,"£52,000 and above",2,692,0
T1,Prefer not to say,Overall Population,Overall Population,11,2818,0
T1,Prefer not to say,Biological Sex,Men,2,1364,0
T1,Prefer not to say,Biological Sex,Women,4,1397,0
T1,Prefer not to say,Age,From 16 to 34,4,906,0
T1,Prefer not to say,Age,From 35 to 54,1,982,0
T1,Prefer not to say,Age,From 55 to 69,2,604,0
T1,Prefer not to say,Age,70 and above,NA,272,NA
T1,Prefer not to say,Age,35 and above,4,1858,0
T1,Prefer not to say,Age,Under 55,5,1888,0
T1,Prefer not to say,Area Type (Population Density),Urban (All),10,2308,0
T1,Prefer not to say,Area Type (Population Density),Rural (All),1,510,0
T1,Prefer not to say,Area Type (Population Density),Urban (Large),2,1110,0
T1,Prefer not to say,Area Type (Population Density),Urban (Other),5,884,1
T1,Prefer not to say,Area Type (Population Density),Small Towns (Accessible),2,224,1
T1,Prefer not to say,Area Type (Population Density),Small Towns (Remote),1,90,1
T1,Prefer not to say,Area Type (Population Density),Rural (Accessible),NA,343,NA
T1,Prefer not to say,Area Type (Population Density),Rural (Remote),1,167,1
T1,Prefer not to say,Energy Hub Area,Yes/Applicable,1,513,0
T1,Prefer not to say,Energy Hub Area,No/Not Applicable,10,2305,0
T1,Prefer not to say,Flood Risk Area,Yes/Applicable,1,920,0
T1,Prefer not to say,Flood Risk Area,No/Not Applicable,11,1898,1
T1,Prefer not to say,Education,No Formal Qualifications,NA,247,NA
T1,Prefer not to say,Education,Other Qualifications,1,1265,0
T1,Prefer not to say,Education,Degree or Higher Qualifications,2,1056,0
T1,Prefer not to say,Education,Non-graduate,1,1512,0
T1,Prefer not to say,Working Status,Employed (FT or PT),2,1717,0
T1,Prefer not to say,Working Status,Unemployed,NA,528,NA
T1,Prefer not to say,Working Status,Retired,1,456,0
T1,Prefer not to say,Income,"Less than £26,000",NA,746,NA
T1,Prefer not to say,Income,"From £26,000 to less than £52,000",1,759,0
T1,Prefer not to say,Income,"Less than £52,000",1,1505,0
T1,Prefer not to say,Income,"£52,000 and above",1,692,0
T3,Climate change is an immediate and urgent problem,Overall Population,Overall Population,2925,4071,72
T3,Climate change is an immediate and urgent problem,Biological Sex,Men,1290,1876,69
T3,Climate change is an immediate and urgent problem,Biological Sex,Women,1574,2080,76
T3,Climate change is an immediate and urgent problem,Age,From 16 to 34,793,1020,78
T3,Climate change is an immediate and urgent problem,Age,From 35 to 54,864,1231,70
T3,Climate change is an immediate and urgent problem,Age,From 55 to 69,704,990,71
T3,Climate change is an immediate and urgent problem,Age,70 and above,495,706,70
T3,Climate change is an immediate and urgent problem,Age,35 and above,2063,2926,71
T3,Climate change is an immediate and urgent problem,Age,Under 55,1657,2251,74
T3,Climate change is an immediate and urgent problem,Area Type (Population Density),Urban (All),2402,3338,72
T3,Climate change is an immediate and urgent problem,Area Type (Population Density),Rural (All),524,733,71
T3,Climate change is an immediate and urgent problem,Area Type (Population Density),Urban (Large),1146,1524,75
T3,Climate change is an immediate and urgent problem,Area Type (Population Density),Urban (Other),924,1334,69
T3,Climate change is an immediate and urgent problem,Area Type (Population Density),Small Towns (Accessible),251,357,70
T3,Climate change is an immediate and urgent problem,Area Type (Population Density),Small Towns (Remote),80,122,66
T3,Climate change is an immediate and urgent problem,Area Type (Population Density),Rural (Accessible),357,493,72
T3,Climate change is an immediate and urgent problem,Area Type (Population Density),Rural (Remote),167,240,70
T3,Climate change is an immediate and urgent problem,Energy Hub Area,Yes/Applicable,525,759,69
T3,Climate change is an immediate and urgent problem,Energy Hub Area,No/Not Applicable,2400,3311,72
T3,Climate change is an immediate and urgent problem,Flood Risk Area,Yes/Applicable,912,1310,70
T3,Climate change is an immediate and urgent problem,Flood Risk Area,No/Not Applicable,2014,2760,73
T3,Climate change is an immediate and urgent problem,Education,No Formal Qualifications,343,576,60
T3,Climate change is an immediate and urgent problem,Education,Other Qualifications,1230,1757,70
T3,Climate change is an immediate and urgent problem,Education,Degree or Higher Qualifications,1096,1331,82
T3,Climate change is an immediate and urgent problem,Education,Non-graduate,1573,2333,67
T3,Climate change is an immediate and urgent problem,Working Status,Employed (FT or PT),1652,2231,74
T3,Climate change is an immediate and urgent problem,Working Status,Unemployed,472,687,69
T3,Climate change is an immediate and urgent problem,Working Status,Retired,714,986,72
T3,Climate change is an immediate and urgent problem,Income,"Less than £26,000",827,1188,70
T3,Climate change is an immediate and urgent problem,Income,"From £26,000 to less than £52,000",746,972,77
T3,Climate change is an immediate and urgent problem,Income,"Less than £52,000",1573,2160,73
T3,Climate change is an immediate and urgent problem,Income,"£52,000 and above",674,858,79
T3,Climate change is more of a problem for the future,Overall Population,Overall Population,548,4071,13
T3,Climate change is more of a problem for the future,Biological Sex,Men,265,1876,14.000000000000002
T3,Climate change is more of a problem for the future,Biological Sex,Women,271,2080,13
T3,Climate change is more of a problem for the future,Age,From 16 to 34,133,1020,13
T3,Climate change is more of a problem for the future,Age,From 35 to 54,155,1231,13
T3,Climate change is more of a problem for the future,Age,From 55 to 69,132,990,13
T3,Climate change is more of a problem for the future,Age,70 and above,111,706,16
T3,Climate change is more of a problem for the future,Age,35 and above,399,2926,14.000000000000002
T3,Climate change is more of a problem for the future,Age,Under 55,288,2251,13
T3,Climate change is more of a problem for the future,Area Type (Population Density),Urban (All),466,3338,14.000000000000002
T3,Climate change is more of a problem for the future,Area Type (Population Density),Rural (All),82,733,11
T3,Climate change is more of a problem for the future,Area Type (Population Density),Urban (Large),207,1524,14.000000000000002
T3,Climate change is more of a problem for the future,Area Type (Population Density),Urban (Other),200,1334,15
T3,Climate change is more of a problem for the future,Area Type (Population Density),Small Towns (Accessible),42,357,12
T3,Climate change is more of a problem for the future,Area Type (Population Density),Small Towns (Remote),17,122,14.000000000000002
T3,Climate change is more of a problem for the future,Area Type (Population Density),Rural (Accessible),60,493,12
T3,Climate change is more of a problem for the future,Area Type (Population Density),Rural (Remote),21,240,9
T3,Climate change is more of a problem for the future,Energy Hub Area,Yes/Applicable,101,759,13
T3,Climate change is more of a problem for the future,Energy Hub Area,No/Not Applicable,446,3311,13
T3,Climate change is more of a problem for the future,Flood Risk Area,Yes/Applicable,187,1310,14.000000000000002
T3,Climate change is more of a problem for the future,Flood Risk Area,No/Not Applicable,360,2760,13
T3,Climate change is more of a problem for the future,Education,No Formal Qualifications,128,576,22
T3,Climate change is more of a problem for the future,Education,Other Qualifications,235,1757,13
T3,Climate change is more of a problem for the future,Education,Degree or Higher Qualifications,120,1331,9
T3,Climate change is more of a problem for the future,Education,Non-graduate,363,2333,16
T3,Climate change is more of a problem for the future,Working Status,Employed (FT or PT),243,2231,11
T3,Climate change is more of a problem for the future,Working Status,Unemployed,132,687,19
T3,Climate change is more of a problem for the future,Working Status,Retired,145,986,15
T3,Climate change is more of a problem for the future,Income,"Less than £26,000",194,1188,16
T3,Climate change is more of a problem for the future,Income,"From £26,000 to less than £52,000",99,972,10
T3,Climate change is more of a problem for the future,Income,"Less than £52,000",293,2160,14.000000000000002
T3,Climate change is more of a problem for the future,Income,"£52,000 and above",92,858,11
T3,Climate change is not really a problem,Overall Population,Overall Population,159,4071,4
T3,Climate change is not really a problem,Biological Sex,Men,101,1876,5
T3,Climate change is not really a problem,Biological Sex,Women,53,2080,3
T3,Climate change is not really a problem,Age,From 16 to 34,21,1020,2
T3,Climate change is not really a problem,Age,From 35 to 54,58,1231,5
T3,Climate change is not really a problem,Age,From 55 to 69,47,990,5
T3,Climate change is not really a problem,Age,70 and above,26,706,4
T3,Climate change is not really a problem,Age,35 and above,131,2926,4
T3,Climate change is not really a problem,Age,Under 55,78,2251,3
T3,Climate change is not really a problem,Area Type (Population Density),Urban (All),128,3338,4
T3,Climate change is not really a problem,Area Type (Population Density),Rural (All),31,733,4
T3,Climate change is not really a problem,Area Type (Population Density),Urban (Large),57,1524,4
T3,Climate change is not really a problem,Area Type (Population Density),Urban (Other),43,1334,3
T3,Climate change is not really a problem,Area Type (Population Density),Small Towns (Accessible),21,357,6
T3,Climate change is not really a problem,Area Type (Population Density),Small Towns (Remote),6,122,5
T3,Climate change is not really a problem,Area Type (Population Density),Rural (Accessible),15,493,3
T3,Climate change is not really a problem,Area Type (Population Density),Rural (Remote),16,240,7.000000000000001
T3,Climate change is not really a problem,Energy Hub Area,Yes/Applicable,33,759,4
T3,Climate change is not really a problem,Energy Hub Area,No/Not Applicable,126,3311,4
T3,Climate change is not really a problem,Flood Risk Area,Yes/Applicable,40,1310,3
T3,Climate change is not really a problem,Flood Risk Area,No/Not Applicable,119,2760,4
T3,Climate change is not really a problem,Education,No Formal Qualifications,31,576,5
T3,Climate change is not really a problem,Education,Other Qualifications,72,1757,4
T3,Climate change is not really a problem,Education,Degree or Higher Qualifications,36,1331,3
T3,Climate change is not really a problem,Education,Non-graduate,103,2333,4
T3,Climate change is not really a problem,Working Status,Employed (FT or PT),107,2231,5
T3,Climate change is not really a problem,Working Status,Unemployed,16,687,2
T3,Climate change is not really a problem,Working Status,Retired,22,986,2
T3,Climate change is not really a problem,Income,"Less than £26,000",49,1188,4
T3,Climate change is not really a problem,Income,"From £26,000 to less than £52,000",30,972,3
T3,Climate change is not really a problem,Income,"Less than £52,000",79,2160,4
T3,Climate change is not really a problem,Income,"£52,000 and above",34,858,4
T3,I'm still not convinced that climate change is happening,Overall Population,Overall Population,223,4071,5
T3,I'm still not convinced that climate change is happening,Biological Sex,Men,129,1876,7.000000000000001
T3,I'm still not convinced that climate change is happening,Biological Sex,Women,80,2080,4
T3,I'm still not convinced that climate change is happening,Age,From 16 to 34,27,1020,3
T3,I'm still not convinced that climate change is happening,Age,From 35 to 54,67,1231,5
T3,I'm still not convinced that climate change is happening,Age,From 55 to 69,65,990,7.000000000000001
T3,I'm still not convinced that climate change is happening,Age,70 and above,51,706,7.000000000000001
T3,I'm still not convinced that climate change is happening,Age,35 and above,183,2926,6
T3,I'm still not convinced that climate change is happening,Age,Under 55,94,2251,4
T3,I'm still not convinced that climate change is happening,Area Type (Population Density),Urban (All),174,3338,5
T3,I'm still not convinced that climate change is happening,Area Type (Population Density),Rural (All),49,733,7.000000000000001
T3,I'm still not convinced that climate change is happening,Area Type (Population Density),Urban (Large),55,1524,4
T3,I'm still not convinced that climate change is happening,Area Type (Population Density),Urban (Other),89,1334,7.000000000000001
T3,I'm still not convinced that climate change is happening,Area Type (Population Density),Small Towns (Accessible),22,357,6
T3,I'm still not convinced that climate change is happening,Area Type (Population Density),Small Towns (Remote),8,122,7.000000000000001
T3,I'm still not convinced that climate change is happening,Area Type (Population Density),Rural (Accessible),32,493,6
T3,I'm still not convinced that climate change is happening,Area Type (Population Density),Rural (Remote),17,240,7.000000000000001
T3,I'm still not convinced that climate change is happening,Energy Hub Area,Yes/Applicable,50,759,7.000000000000001
T3,I'm still not convinced that climate change is happening,Energy Hub Area,No/Not Applicable,173,3311,5
T3,I'm still not convinced that climate change is happening,Flood Risk Area,Yes/Applicable,86,1310,7.000000000000001
T3,I'm still not convinced that climate change is happening,Flood Risk Area,No/Not Applicable,137,2760,5
T3,I'm still not convinced that climate change is happening,Education,No Formal Qualifications,44,576,8
T3,I'm still not convinced that climate change is happening,Education,Other Qualifications,119,1757,7.000000000000001
T3,I'm still not convinced that climate change is happening,Education,Degree or Higher Qualifications,30,1331,2
T3,I'm still not convinced that climate change is happening,Education,Non-graduate,163,2333,7.000000000000001
T3,I'm still not convinced that climate change is happening,Working Status,Employed (FT or PT),104,2231,5
T3,I'm still not convinced that climate change is happening,Working Status,Unemployed,35,687,5
T3,I'm still not convinced that climate change is happening,Working Status,Retired,70,986,7.000000000000001
T3,I'm still not convinced that climate change is happening,Income,"Less than £26,000",72,1188,6
T3,I'm still not convinced that climate change is happening,Income,"From £26,000 to less than £52,000",56,972,6
T3,I'm still not convinced that climate change is happening,Income,"Less than £52,000",128,2160,6
T3,I'm still not convinced that climate change is happening,Income,"£52,000 and above",26,858,3
T3,None of these,Overall Population,Overall Population,94,4071,2
T3,None of these,Biological Sex,Men,58,1876,3
T3,None of these,Biological Sex,Women,28,2080,1
T3,None of these,Age,From 16 to 34,15,1020,1
T3,None of these,Age,From 35 to 54,42,1231,3
T3,None of these,Age,From 55 to 69,20,990,2
T3,None of these,Age,70 and above,11,706,2
T3,None of these,Age,35 and above,73,2926,2
T3,None of these,Age,Under 55,57,2251,3
T3,None of these,Area Type (Population Density),Urban (All),70,3338,2
T3,None of these,Area Type (Population Density),Rural (All),24,733,3
T3,None of these,Area Type (Population Density),Urban (Large),23,1524,2
T3,None of these,Area Type (Population Density),Urban (Other),31,1334,2
T3,None of these,Area Type (Population Density),Small Towns (Accessible),12,357,3
T3,None of these,Area Type (Population Density),Small Towns (Remote),5,122,4
T3,None of these,Area Type (Population Density),Rural (Accessible),14,493,3
T3,None of these,Area Type (Population Density),Rural (Remote),10,240,4
T3,None of these,Energy Hub Area,Yes/Applicable,24,759,3
T3,None of these,Energy Hub Area,No/Not Applicable,70,3311,2
T3,None of these,Flood Risk Area,Yes/Applicable,42,1310,3
T3,None of these,Flood Risk Area,No/Not Applicable,52,2760,2
T3,None of these,Education,No Formal Qualifications,2,576,0
T3,None of these,Education,Other Qualifications,45,1757,3
T3,None of these,Education,Degree or Higher Qualifications,33,1331,2
T3,None of these,Education,Non-graduate,46,2333,2
T3,None of these,Working Status,Employed (FT or PT),50,2231,2
T3,None of these,Working Status,Unemployed,20,687,3
T3,None of these,Working Status,Retired,17,986,2
T3,None of these,Income,"Less than £26,000",17,1188,1
T3,None of these,Income,"From £26,000 to less than £52,000",16,972,2
T3,None of these,Income,"Less than £52,000",33,2160,2
T3,None of these,Income,"£52,000 and above",22,858,3
T3,Don't know,Overall Population,Overall Population,105,4071,3
T3,Don't know,Biological Sex,Men,26,1876,1
T3,Don't know,Biological Sex,Women,69,2080,3
T3,Don't know,Age,From 16 to 34,27,1020,3
T3,Don't know,Age,From 35 to 54,40,1231,3
T3,Don't know,Age,From 55 to 69,20,990,2
T3,Don't know,Age,70 and above,10,706,1
T3,Don't know,Age,35 and above,70,2926,2
T3,Don't know,Age,Under 55,67,2251,3
T3,Don't know,Area Type (Population Density),Urban (All),84,3338,3
T3,Don't know,Area Type (Population Density),Rural (All),21,733,3
T3,Don't know,Area Type (Population Density),Urban (Large),33,1524,2
T3,Don't know,Area Type (Population Density),Urban (Other),37,1334,3
T3,Don't know,Area Type (Population Density),Small Towns (Accessible),8,357,2
T3,Don't know,Area Type (Population Density),Small Towns (Remote),6,122,5
T3,Don't know,Area Type (Population Density),Rural (Accessible),14,493,3
T3,Don't know,Area Type (Population Density),Rural (Remote),7,240,3
T3,Don't know,Energy Hub Area,Yes/Applicable,20,759,3
T3,Don't know,Energy Hub Area,No/Not Applicable,85,3311,3
T3,Don't know,Flood Risk Area,Yes/Applicable,41,1310,3
T3,Don't know,Flood Risk Area,No/Not Applicable,64,2760,2
T3,Don't know,Education,No Formal Qualifications,29,576,5
T3,Don't know,Education,Other Qualifications,49,1757,3
T3,Don't know,Education,Degree or Higher Qualifications,13,1331,1
T3,Don't know,Education,Non-graduate,77,2333,3
T3,Don't know,Working Status,Employed (FT or PT),65,2231,3
T3,Don't know,Working Status,Unemployed,12,687,2
T3,Don't know,Working Status,Retired,15,986,2
T3,Don't know,Income,"Less than £26,000",28,1188,2
T3,Don't know,Income,"From £26,000 to less than £52,000",23,972,2
T3,Don't know,Income,"Less than £52,000",52,2160,2
T3,Don't know,Income,"£52,000 and above",11,858,1
T3,Prefer not to say,Overall Population,Overall Population,17,4071,0
T3,Prefer not to say,Biological Sex,Men,5,1876,0
T3,Prefer not to say,Biological Sex,Women,5,2080,0
T3,Prefer not to say,Age,From 16 to 34,7,1020,1
T3,Prefer not to say,Age,From 35 to 54,4,1231,0
T3,Prefer not to say,Age,From 55 to 69,2,990,0
T3,Prefer not to say,Age,70 and above,1,706,0
T3,Prefer not to say,Age,35 and above,7,2926,0
T3,Prefer not to say,Age,Under 55,10,2251,0
T3,Prefer not to say,Area Type (Population Density),Urban (All),14,3338,0
T3,Prefer not to say,Area Type (Population Density),Rural (All),3,733,0
T3,Prefer not to say,Area Type (Population Density),Urban (Large),2,1524,0
T3,Prefer not to say,Area Type (Population Density),Urban (Other),9,1334,1
T3,Prefer not to say,Area Type (Population Density),Small Towns (Accessible),2,357,1
T3,Prefer not to say,Area Type (Population Density),Small Towns (Remote),NA,122,NA
T3,Prefer not to say,Area Type (Population Density),Rural (Accessible),1,493,0
T3,Prefer not to say,Area Type (Population Density),Rural (Remote),2,240,1
T3,Prefer not to say,Energy Hub Area,Yes/Applicable,6,759,1
T3,Prefer not to say,Energy Hub Area,No/Not Applicable,10,3311,0
T3,Prefer not to say,Flood Risk Area,Yes/Applicable,2,1310,0
T3,Prefer not to say,Flood Risk Area,No/Not Applicable,14,2760,1
T3,Prefer not to say,Education,No Formal Qualifications,NA,576,NA
T3,Prefer not to say,Education,Other Qualifications,8,1757,0
T3,Prefer not to say,Education,Degree or Higher Qualifications,4,1331,0
T3,Prefer not to say,Education,Non-graduate,8,2333,0
T3,Prefer not to say,Working Status,Employed (FT or PT),9,2231,0
T3,Prefer not to say,Working Status,Unemployed,1,687,0
T3,Prefer not to say,Working Status,Retired,2,986,0
T3,Prefer not to say,Income,"Less than £26,000",2,1188,0
T3,Prefer not to say,Income,"From £26,000 to less than £52,000",2,972,0
T3,Prefer not to say,Income,"Less than £52,000",3,2160,0
T3,Prefer not to say,Income,"£52,000 and above",NA,858,NA
T5,Every day,Overall Population,Overall Population,84,2818,3
T5,Every day,Biological Sex,Men,37,1364,3
T5,Every day,Biological Sex,Women,43,1397,3
T5,Every day,Age,From 16 to 34,21,906,2
T5,Every day,Age,From 35 to 54,38,982,4
T5,Every day,Age,From 55 to 69,16,604,3
T5,Every day,Age,70 and above,7,272,3
T5,Every day,Age,35 and above,61,1858,3
T5,Every day,Age,Under 55,59,1888,3
T5,Every day,Area Type (Population Density),Urban (All),68,2308,3
T5,Every day,Area Type (Population Density),Rural (All),16,510,3
T5,Every day,Area Type (Population Density),Urban (Large),40,1110,4
T5,Every day,Area Type (Population Density),Urban (Other),20,884,2
T5,Every day,Area Type (Population Density),Small Towns (Accessible),6,224,3
T5,Every day,Area Type (Population Density),Small Towns (Remote),2,90,2
T5,Every day,Area Type (Population Density),Rural (Accessible),12,343,3
T5,Every day,Area Type (Population Density),Rural (Remote),4,167,2
T5,Every day,Energy Hub Area,Yes/Applicable,15,513,3
